Series ID,Year,Period,Label,Value
LAUCT171400000000004,2001,M01,2001 Jan,87666
LAUCT171400000000004,2001,M02,2001 Feb,88124
LAUCT171400000000004,2001,M03,2001 Mar,92453
LAUCT171400000000004,2001,M04,2001 Apr,92730
LAUCT171400000000004,2001,M05,2001 May,86177
LAUCT171400000000004,2001,M06,2001 Jun,98740
LAUCT171400000000004,2001,M07,2001 Jul,94100
LAUCT171400000000004,2001,M08,2001 Aug,95270
LAUCT171400000000004,2001,M09,2001 Sep,90237
LAUCT171400000000004,2001,M10,2001 Oct,94129
LAUCT171400000000004,2001,M11,2001 Nov,99041
LAUCT171400000000004,2001,M12,2001 Dec,102395
LAUCT171400000000004,2002,M01,2002 Jan,117611
LAUCT171400000000004,2002,M02,2002 Feb,115068
LAUCT171400000000004,2002,M03,2002 Mar,115529
LAUCT171400000000004,2002,M04,2002 Apr,118269
LAUCT171400000000004,2002,M05,2002 May,113662
LAUCT171400000000004,2002,M06,2002 Jun,124332
LAUCT171400000000004,2002,M07,2002 Jul,123720
LAUCT171400000000004,2002,M08,2002 Aug,115214
LAUCT171400000000004,2002,M09,2002 Sep,107357
LAUCT171400000000004,2002,M10,2002 Oct,108704
LAUCT171400000000004,2002,M11,2002 Nov,110063
LAUCT171400000000004,2002,M12,2002 Dec,106112
LAUCT171400000000004,2003,M01,2003 Jan,113322
LAUCT171400000000004,2003,M02,2003 Feb,108576
LAUCT171400000000004,2003,M03,2003 Mar,106402
LAUCT171400000000004,2003,M04,2003 Apr,104609
LAUCT171400000000004,2003,M05,2003 May,106981
LAUCT171400000000004,2003,M06,2003 Jun,125267
LAUCT171400000000004,2003,M07,2003 Jul,117508
LAUCT171400000000004,2003,M08,2003 Aug,113584
LAUCT171400000000004,2003,M09,2003 Sep,108118
LAUCT171400000000004,2003,M10,2003 Oct,100637
LAUCT171400000000004,2003,M11,2003 Nov,99162
LAUCT171400000000004,2003,M12,2003 Dec,92895
LAUCT171400000000004,2004,M01,2004 Jan,102624
LAUCT171400000000004,2004,M02,2004 Feb,97351
LAUCT171400000000004,2004,M03,2004 Mar,99839
LAUCT171400000000004,2004,M04,2004 Apr,97160
LAUCT171400000000004,2004,M05,2004 May,96725
LAUCT171400000000004,2004,M06,2004 Jun,105669
LAUCT171400000000004,2004,M07,2004 Jul,103956
LAUCT171400000000004,2004,M08,2004 Aug,98849
LAUCT171400000000004,2004,M09,2004 Sep,94797
LAUCT171400000000004,2004,M10,2004 Oct,95250
LAUCT171400000000004,2004,M11,2004 Nov,94741
LAUCT171400000000004,2004,M12,2004 Dec,90795
LAUCT171400000000004,2005,M01,2005 Jan,94868
LAUCT171400000000004,2005,M02,2005 Feb,99461
LAUCT171400000000004,2005,M03,2005 Mar,91385
LAUCT171400000000004,2005,M04,2005 Apr,96665
LAUCT171400000000004,2005,M05,2005 May,94531
LAUCT171400000000004,2005,M06,2005 Jun,100915
LAUCT171400000000004,2005,M07,2005 Jul,96318
LAUCT171400000000004,2005,M08,2005 Aug,87002
LAUCT171400000000004,2005,M09,2005 Sep,88952
LAUCT171400000000004,2005,M10,2005 Oct,82407
LAUCT171400000000004,2005,M11,2005 Nov,83099
LAUCT171400000000004,2005,M12,2005 Dec,76345
LAUCT171400000000004,2006,M01,2006 Jan,77651
LAUCT171400000000004,2006,M02,2006 Feb,77080
LAUCT171400000000004,2006,M03,2006 Mar,70399
LAUCT171400000000004,2006,M04,2006 Apr,73784
LAUCT171400000000004,2006,M05,2006 May,68043
LAUCT171400000000004,2006,M06,2006 Jun,73935
LAUCT171400000000004,2006,M07,2006 Jul,75062
LAUCT171400000000004,2006,M08,2006 Aug,70566
LAUCT171400000000004,2006,M09,2006 Sep,64702
LAUCT171400000000004,2006,M10,2006 Oct,58920
LAUCT171400000000004,2006,M11,2006 Nov,61812
LAUCT171400000000004,2006,M12,2006 Dec,62639
LAUCT171400000000004,2007,M01,2007 Jan,75463
LAUCT171400000000004,2007,M02,2007 Feb,72248
LAUCT171400000000004,2007,M03,2007 Mar,65265
LAUCT171400000000004,2007,M04,2007 Apr,72729
LAUCT171400000000004,2007,M05,2007 May,72928
LAUCT171400000000004,2007,M06,2007 Jun,85112
LAUCT171400000000004,2007,M07,2007 Jul,85701
LAUCT171400000000004,2007,M08,2007 Aug,79833
LAUCT171400000000004,2007,M09,2007 Sep,76416
LAUCT171400000000004,2007,M10,2007 Oct,75324
LAUCT171400000000004,2007,M11,2007 Nov,74200
LAUCT171400000000004,2007,M12,2007 Dec,78281
LAUCT171400000000004,2008,M01,2008 Jan,85124
LAUCT171400000000004,2008,M02,2008 Feb,82409
LAUCT171400000000004,2008,M03,2008 Mar,79278
LAUCT171400000000004,2008,M04,2008 Apr,76904
LAUCT171400000000004,2008,M05,2008 May,90210
LAUCT171400000000004,2008,M06,2008 Jun,102155
LAUCT171400000000004,2008,M07,2008 Jul,100587
LAUCT171400000000004,2008,M08,2008 Aug,100511
LAUCT171400000000004,2008,M09,2008 Sep,92028
LAUCT171400000000004,2008,M10,2008 Oct,94468
LAUCT171400000000004,2008,M11,2008 Nov,94370
LAUCT171400000000004,2008,M12,2008 Dec,105287
LAUCT171400000000004,2009,M01,2009 Jan,120867
LAUCT171400000000004,2009,M02,2009 Feb,133807
LAUCT171400000000004,2009,M03,2009 Mar,136057
LAUCT171400000000004,2009,M04,2009 Apr,137978
LAUCT171400000000004,2009,M05,2009 May,143973
LAUCT171400000000004,2009,M06,2009 Jun,157631
LAUCT171400000000004,2009,M07,2009 Jul,158088
LAUCT171400000000004,2009,M08,2009 Aug,155492
LAUCT171400000000004,2009,M09,2009 Sep,153660
LAUCT171400000000004,2009,M10,2009 Oct,156866
LAUCT171400000000004,2009,M11,2009 Nov,150933
LAUCT171400000000004,2009,M12,2009 Dec,154827
LAUCT171400000000004,2010,M01,2010 Jan,169810
LAUCT171400000000004,2010,M02,2010 Feb,165426
LAUCT171400000000004,2010,M03,2010 Mar,159680
LAUCT171400000000004,2010,M04,2010 Apr,155204
LAUCT171400000000004,2010,M05,2010 May,148554
LAUCT171400000000004,2010,M06,2010 Jun,154156
LAUCT171400000000004,2010,M07,2010 Jul,156447
LAUCT171400000000004,2010,M08,2010 Aug,151057
LAUCT171400000000004,2010,M09,2010 Sep,141955
LAUCT171400000000004,2010,M10,2010 Oct,140339
LAUCT171400000000004,2010,M11,2010 Nov,140809
LAUCT171400000000004,2010,M12,2010 Dec,134835
LAUCT171400000000004,2011,M01,2011 Jan,144287
LAUCT171400000000004,2011,M02,2011 Feb,141014
LAUCT171400000000004,2011,M03,2011 Mar,136470
LAUCT171400000000004,2011,M04,2011 Apr,137595
LAUCT171400000000004,2011,M05,2011 May,142205
LAUCT171400000000004,2011,M06,2011 Jun,158320
LAUCT171400000000004,2011,M07,2011 Jul,159461
LAUCT171400000000004,2011,M08,2011 Aug,158449
LAUCT171400000000004,2011,M09,2011 Sep,152092
LAUCT171400000000004,2011,M10,2011 Oct,150239
LAUCT171400000000004,2011,M11,2011 Nov,138446
LAUCT171400000000004,2011,M12,2011 Dec,136557
LAUCT171400000000004,2012,M01,2012 Jan,140803
LAUCT171400000000004,2012,M02,2012 Feb,138135
LAUCT171400000000004,2012,M03,2012 Mar,130992
LAUCT171400000000004,2012,M04,2012 Apr,127983
LAUCT171400000000004,2012,M05,2012 May,133105
LAUCT171400000000004,2012,M06,2012 Jun,146762
LAUCT171400000000004,2012,M07,2012 Jul,149575
LAUCT171400000000004,2012,M08,2012 Aug,143347
LAUCT171400000000004,2012,M09,2012 Sep,130400
LAUCT171400000000004,2012,M10,2012 Oct,133630
LAUCT171400000000004,2012,M11,2012 Nov,127532
LAUCT171400000000004,2012,M12,2012 Dec,134858
LAUCT171400000000004,2013,M01,2013 Jan,149354
LAUCT171400000000004,2013,M02,2013 Feb,143024
LAUCT171400000000004,2013,M03,2013 Mar,132760
LAUCT171400000000004,2013,M04,2013 Apr,131122
LAUCT171400000000004,2013,M05,2013 May,136003
LAUCT171400000000004,2013,M06,2013 Jun,150579
LAUCT171400000000004,2013,M07,2013 Jul,146933
LAUCT171400000000004,2013,M08,2013 Aug,141883
LAUCT171400000000004,2013,M09,2013 Sep,134210
LAUCT171400000000004,2013,M10,2013 Oct,134141
LAUCT171400000000004,2013,M11,2013 Nov,126234
LAUCT171400000000004,2013,M12,2013 Dec,121542
LAUCT171400000000004,2014,M01,2014 Jan,126637
LAUCT171400000000004,2014,M02,2014 Feb,126881
LAUCT171400000000004,2014,M03,2014 Mar,116887
LAUCT171400000000004,2014,M04,2014 Apr,104157
LAUCT171400000000004,2014,M05,2014 May,104597
LAUCT171400000000004,2014,M06,2014 Jun,109649
LAUCT171400000000004,2014,M07,2014 Jul,112722
LAUCT171400000000004,2014,M08,2014 Aug,105020
LAUCT171400000000004,2014,M09,2014 Sep,94357
LAUCT171400000000004,2014,M10,2014 Oct,92640
LAUCT171400000000004,2014,M11,2014 Nov,88895
LAUCT171400000000004,2014,M12,2014 Dec,82618
LAUCT171400000000004,2015,M01,2015 Jan,99630
LAUCT171400000000004,2015,M02,2015 Feb,95906
LAUCT171400000000004,2015,M03,2015 Mar,93328
LAUCT171400000000004,2015,M04,2015 Apr,88499
LAUCT171400000000004,2015,M05,2015 May,91413
LAUCT171400000000004,2015,M06,2015 Jun,95174
LAUCT171400000000004,2015,M07,2015 Jul,94124
LAUCT171400000000004,2015,M08,2015 Aug,88190
LAUCT171400000000004,2015,M09,2015 Sep,75585
